feature,coefficient,abs_coefficient,feature_type
says,-0.8481098522157576,0.8481098522157576,text
scale,-0.8616056745798527,0.8616056745798527,text
scalp,0.7436849439380777,0.7436849439380777,text
scan,0.15277219806989378,0.15277219806989378,text
scared,0.12696293064036454,0.12696293064036454,text
schedule,-0.2570800493167983,0.2570800493167983,text
schedule product,0.4908171974065299,0.4908171974065299,text
schedule vaccine,0.16714893809755077,0.16714893809755077,text
scheduled,-0.5220439226566286,0.5220439226566286,text
school,0.15635357989056695,0.15635357989056695,text
scientific,0.14675121431584975,0.14675121431584975,text
scientific plausibility,0.2875580125883561,0.2875580125883561,text
sclerosis,-0.3692127047463175,0.3692127047463175,text
scratchy,-0.13550943606647345,0.13550943606647345,text
scratchy throat,-0.9753222514974539,0.9753222514974539,text
seasonal,-0.15762673804725974,0.15762673804725974,text
seasonal allergies,-0.23502667436911906,0.23502667436911906,text
seated,-0.36945437952424975,0.36945437952424975,text
second,-0.4581789667033594,0.4581789667033594,text
second booster,-1.35127222892038,1.35127222892038,text
second covid,0.29785436159566775,0.29785436159566775,text
second day,-0.49101000781029563,0.49101000781029563,text
second dose,0.569724791091886,0.569724791091886,text
second moderna,0.4311386199664827,0.4311386199664827,text
second pfizer,-5.7065718075609346e-05,5.7065718075609346e-05,text
second shot,0.3138146999061058,0.3138146999061058,text
second vaccination,-0.1843526840091071,0.1843526840091071,text
second vaccine,0.6096536984641258,0.6096536984641258,text
secondary,0.43215623826133626,0.43215623826133626,text
seconds,-0.2846536106661321,0.2846536106661321,text
section,0.7347809791445328,0.7347809791445328,text
section additional,0.2523995946091843,0.2523995946091843,text
section therapeutic,0.11197008469540444,0.11197008469540444,text
seeing,0.20920647297249045,0.20920647297249045,text
seek,-1.5908541718497649,1.5908541718497649,text
seek medical,-0.4266137335007696,0.4266137335007696,text
seen,1.7924083699008457,1.7924083699008457,text
seizure,3.1589689917921357,3.1589689917921357,text
seizures,2.6514911524802334,2.6514911524802334,text
self,-0.11007217155182819,0.11007217155182819,text
sender,0.7189700637246083,0.7189700637246083,text
sender comments,0.4633251579680564,0.4633251579680564,text
sensation,-0.021573757963353334,0.021573757963353334,text
sensations,0.21952907659924986,0.21952907659924986,text
sense,-0.3731469872223793,0.3731469872223793,text
sense smell,0.2391896693755688,0.2391896693755688,text
sense taste,-0.3817874889806893,0.3817874889806893,text
sensitive,-0.47670522568249674,0.47670522568249674,text
sensitivity,-0.013005568182562181,0.013005568182562181,text
sent,3.0098752017541206,3.0098752017541206,text
sent home,0.550096603215333,0.550096603215333,text
sep,-0.1506126401169128,0.1506126401169128,text
sep described,0.6593501277154432,0.6593501277154432,text
sep dose,-0.27776088133226606,0.27776088133226606,text
sep patient,0.5147664899838148,0.5147664899838148,text
sep recovered,1.3654256944011764,1.3654256944011764,text
sepsis,4.0357195266125165,4.0357195266125165,text
september,-0.035754863626752245,0.035754863626752245,text
sequelae,0.5450504463319754,0.5450504463319754,text
series,-0.6485192844654529,0.6485192844654529,text
series mrna,-0.8385570920476306,0.8385570920476306,text
series patient,-0.14424042174302643,0.14424042174302643,text
series suspension,0.42531557277457105,0.42531557277457105,text
sertraline,-0.9700243175678267,0.9700243175678267,text
services,0.6245845041868099,0.6245845041868099,text
set,-0.37359661291370827,0.37359661291370827,text
setting,0.6737280805642913,0.6737280805642913,text
seven,0.5550977369649919,0.5550977369649919,text
sever,0.15925648109042534,0.15925648109042534,text
severe,0.9944402405269238,0.9944402405269238,text
severe body,-0.8912804907966662,0.8912804907966662,text
severe chills,-1.6768844513628007,1.6768844513628007,text
severe fatigue,-0.25136792357312354,0.25136792357312354,text
severe headache,-0.029540199718840615,0.029540199718840615,text
severe headaches,0.099952731252868,0.099952731252868,text
severe joint,-0.6666187135488938,0.6666187135488938,text
severe muscle,-0.8554755970343684,0.8554755970343684,text
severe pain,0.5142340864574891,0.5142340864574891,text
severely,0.9717575276920584,0.9717575276920584,text
severity,-0.5121342828175838,0.5121342828175838,text
sex,0.22214942388678482,0.22214942388678482,text
sex patient,-0.17464396285081846,0.17464396285081846,text
shakes,-0.9928375251136963,0.9928375251136963,text
shaking,0.8580054827320653,0.8580054827320653,text
shaky,0.29858560589929495,0.29858560589929495,text
shape,-0.5638561112945814,0.5638561112945814,text
sharp,0.05686781287016495,0.05686781287016495,text
sharp pain,0.2659915229056935,0.2659915229056935,text
shellfish,0.30817070862773305,0.30817070862773305,text
shingles,0.32563256905903015,0.32563256905903015,text
shingles vaccine,-0.4326926184941626,0.4326926184941626,text
shingrix,-0.0916730307771193,0.0916730307771193,text
shivering,-0.3321203722598855,0.3321203722598855,text
shock,2.261299622065842,2.261299622065842,text
shooting,-0.2658505382647597,0.2658505382647597,text
shooting pain,0.32490882645301833,0.32490882645301833,text
short,-0.18895529198649827,0.18895529198649827,text
short breath,1.4259751141987744,1.4259751141987744,text
shortly,0.5167374981787447,0.5167374981787447,text
shortness,-0.42825309603736483,0.42825309603736483,text
shortness breath,0.7677234185336902,0.7677234185336902,text
shot,-0.37193894032949265,0.37193894032949265,text
shot arm,-0.2362985873353558,0.2362985873353558,text
shot given,-0.6082302875396348,0.6082302875396348,text
shot got,0.05670456445220128,0.05670456445220128,text
shot patient,0.2555123522542919,0.2555123522542919,text
shot started,0.6581407158054412,0.6581407158054412,text
shots,-0.558252035993477,0.558252035993477,text
shoulder,0.01544244580208669,0.01544244580208669,text
shoulder blade,-0.4065095020612753,0.4065095020612753,text
shoulder elbow,0.16631462770854866,0.16631462770854866,text
shoulder neck,-0.40764887541586786,0.40764887541586786,text
shoulder pain,-0.06529822152147753,0.06529822152147753,text
shoulders,-0.6199770975882946,0.6199770975882946,text
showed,-0.23186431836721144,0.23186431836721144,text
shower,-0.36366173908592114,0.36366173908592114,text
showing,0.24127769880671038,0.24127769880671038,text
shows,0.6398759584473497,0.6398759584473497,text
sick,0.42187114144733395,0.42187114144733395,text
sick days,0.36623670059261165,0.36623670059261165,text
sick stomach,0.14193781906824082,0.14193781906824082,text
sickness,0.32221905777772086,0.32221905777772086,text
sided,0.7880301681584836,0.7880301681584836,text
sides,-0.4063055587337155,0.4063055587337155,text
sight,-0.68527266334947,0.68527266334947,text
sign,-0.08993233988764877,0.08993233988764877,text
signed,-2.5102092085613026,2.5102092085613026,text
significant,-0.39647841823100577,0.39647841823100577,text
significant information,-0.1058136707764962,0.1058136707764962,text
significantly,0.28096928134729077,0.28096928134729077,text
signs,-1.0187425183940928,1.0187425183940928,text
signs symptoms,-0.003974859777854372,0.003974859777854372,text
similar,-0.6160843857849525,0.6160843857849525,text
simvastatin,0.43738560198073817,0.43738560198073817,text
single,-0.5592782826164862,0.5592782826164862,text
single batch,-0.2719222280202386,0.2719222280202386,text
single covid,0.11589525742627466,0.11589525742627466,text
single dose,-0.6756016834444535,0.6756016834444535,text
single lot,0.030653877218231578,0.030653877218231578,text
sinus,-0.19636382568907715,0.19636382568907715,text
sinus congestion,-1.1049370472114055,1.1049370472114055,text
sinus infection,-1.4228889534496176,1.4228889534496176,text
sinuses,-1.1630699894746173,1.1630699894746173,text
sinusitis,-0.6954181521868285,0.6954181521868285,text
sister,1.6438801116900845,1.6438801116900845,text
sit,-0.07352698860925543,0.07352698860925543,text
site,-1.2437508776305273,1.2437508776305273,text
site action,-0.5328286408536118,0.5328286408536118,text
site arm,-0.12689503264199284,0.12689503264199284,text
site bruising,0.2298733861078389,0.2298733861078389,text
site consumer,-0.2877158574164267,0.2877158574164267,text
site days,-0.6261215194966443,0.6261215194966443,text
site erythema,-0.22120053548845028,0.22120053548845028,text
site fatigue,-0.07210301170308422,0.07210301170308422,text
site induration,1.4307899285938461,1.4307899285938461,text
site injection,0.25166826856064944,0.25166826856064944,text
site itching,0.19115726119777615,0.19115726119777615,text
site itchy,-1.2840968086830213,1.2840968086830213,text
site left,-0.1427071316447696,0.1427071316447696,text
site mass,0.6136171486528075,0.6136171486528075,text
site pain,0.8962773390657679,0.8962773390657679,text
site patient,0.15032909488852264,0.15032909488852264,text
site pruritus,-0.15479721887856396,0.15479721887856396,text
site rash,0.18179463015183675,0.18179463015183675,text
site reaction,1.0716303421185678,1.0716303421185678,text
site red,0.05593906858227751,0.05593906858227751,text
site redness,1.50062200592604,1.50062200592604,text
site resolved,0.15789450535219252,0.15789450535219252,text
site sore,0.21772292512352534,0.21772292512352534,text
site soreness,0.24294549091491663,0.24294549091491663,text
site swelling,0.2520502287736276,0.2520502287736276,text
site swollen,0.11295152660795782,0.11295152660795782,text
site tenderness,-0.20655555324475727,0.20655555324475727,text
site time,-1.169127355720373,1.169127355720373,text
site vaccination,-0.4675166881766605,0.4675166881766605,text
site warm,-0.33722644725927453,0.33722644725927453,text
site warmth,-0.46256457660134204,0.46256457660134204,text
site year-old,-0.39782837833518786,0.39782837833518786,text
site-medium,-0.19684964483787226,0.19684964483787226,text
site-mild,-0.02564869143925279,0.02564869143925279,text
sitting,-0.055344365487761775,0.055344365487761775,text
situation,0.048055718456389875,0.048055718456389875,text
size,0.011949971167503877,0.011949971167503877,text
sized,-0.1900526381114038,0.1900526381114038,text
skin,-0.2254653535018697,0.2254653535018697,text
skin rash,0.626639464937608,0.626639464937608,text
sleep,0.2139284166871741,0.2139284166871741,text
sleep apnea,1.705982723963283,1.705982723963283,text
sleep night,-0.6812429123612389,0.6812429123612389,text
sleeping,-0.5490118718140238,0.5490118718140238,text
