feature,importance,feature_type
clinical,0.00017097318178634145,text
sunday,0.0001707737220931219,text
fever degrees,0.00017071293570221423,text
batch,0.00017066168348329338,text
fever days,0.0001704006503545136,text
chest discomfort,0.00017037132240790067,text
reaction vaccine,0.0001703479357748652,text
pcr,0.00016951996342638435,text
arthritis,0.00016937862584710553,text
painful,0.00016922446678529511,text
states,0.00016895114959302615,text
inflammation,0.00016714886221709266,text
brain,0.00016636657484833618,text
vaccination history,0.00016617056896083495,text
lips,0.00016566373227598058,text
additional,0.00016545090759191052,text
nausea fever,0.0001653701722507122,text
requested sender,0.00016517422031820585,text
heart attack,0.00016499461087801193,text
presents,0.000164685101182386,text
eye pain,0.00016316577455827315,text
incident,0.00016303143894258576,text
date unspecified,0.00016223660264130823,text
legs,0.00016111455942016808,text
years-old single,0.00016082539922855247,text
batch number,0.00016054345868683948,text
breakthrough,0.00016050481381927605,text
prophylaxis patient,0.00015949518926921356,text
alert,0.0001594424713989221,text
mar,0.0001588670040245896,text
continued,0.00015882199234435062,text
efficacy,0.00015796873051628877,text
happening,0.0001578780874070495,text
binary__MANU__PFIZER_BIONTECH,0.00015674365223085807,structured
sep,0.00015649373598253122,text
events follow-up,0.0001557120663756152,text
second vaccination,0.00015549598323230914,text
cat__STATE_NJ,0.00015544804975126667,structured
rapid,0.00015530766111049592,text
size,0.00015481762194829833,text
getting shot,0.00015468473586467628,text
facial,0.00015460292592177634,text
pm,0.00015430348754588314,text
bleeding,0.0001542678932715847,text
ring,0.00015382787692482024,text
bpm,0.00015355668240412434,text
moderna dose,0.00015299451894722787,text
short breath,0.00015218587373554124,text
products,0.00015190065546855368,text
administered products,0.0001518472891491262,text
raised,0.00015161650103974513,text
cat__STATE_MA,0.00015159733254835016,structured
throwing,0.0001512897064012466,text
dates,0.00015094635380124907,text
vaccine experienced,0.00015086640158326002,text
forearm,0.0001507408067400624,text
products included,0.00015072280541579355,text
pt stated,0.0001503395304041349,text
experienced fever,0.00015017813245208703,text
ongoing,0.00014938297723901786,text
patient called,0.00014882873219494258,text
swelled,0.00014678535914561795,text
taken mrna,0.00014605149026081726,text
parenthesis available,0.00014585773781283613,text
shoulder,0.00014585410530256382,text
included,0.00014580160860797766,text
eye,0.00014575360835571526,text
steady,0.0001452272797861357,text
binary__HISTORY__kidney,0.0001451956381256459,structured
nd,0.00014494055346150973,text
prescribed,0.00014487500098903666,text
knees,0.0001445588030451983,text
cat__STATE_MS,0.00014444185214043437,structured
adult,0.0001443585108430064,text
thinks,0.00014435286829913804,text
binary__MULTI_MANUFACTURER,0.00014427074707037545,structured
fever pain,0.00014340962475409478,text
patient given,0.0001433882640111445,text
ekg,0.00014265803384335711,text
day felt,0.00014244973988872543,text
nausea,0.0001417641680869887,text
passed,0.00014164030862487954,text
phone,0.00014084583107612058,text
tests,0.00014060787426624716,text
medications included,0.00013970808393198628,text
probably,0.00013968783203848075,text
said,0.00013948789897349492,text
included covid,0.00013939836266543997,text
recent,0.00013926254881423697,text
care provider,0.00013880122077290712,text
body ache,0.00013855484057451216,text
additional information,0.00013805517741493137,text
normal ranges,0.00013742686468641002,text
saturday,0.0001372195841199515,text
know,0.00013666039751365023,text
plus,0.0001365949277599567,text
monitored,0.00013628429419192085,text
spread,0.00013592607017977814,text
events provided,0.00013585314563414658,text
binary__OTHER_MEDS__statin,0.00013577961142704483,structured
binary__ALLERGIES__other,0.00013569742714393643,structured
wants,0.00013547546636108354,text
menstrual,0.00013491530336728165,text
binary__HISTORY__neurologic,0.00013409524659324442,structured
care professional,0.0001339626213180647,text
sharp pain,0.00013314676833862526,text
binary__MANU__MODERNA,0.00013306093438002938,structured
additional non,0.0001324660463956519,text
chf,0.00013159507444146593,text
received covid,0.00013152241737282238,text
clinic care,0.00013146885666526995,text
nos,0.00013131539771026125,text
indication,0.00013105188093377921,text
arm jan,0.00013046258661117614,text
history included,0.00013007785754830673,text
conditions included,0.00012952134086585966,text
binary__HISTORY__cancer_immunocompromised,0.00012934652353615355,structured
later day,0.000129083969033864,text
years dose,0.0001287181284373643,text
stress,0.00012847624142262596,text
unspecified,0.00012729197215228245,text
cat__MONTH_1,0.00012614041441619177,structured
present,0.00012550284375916526,text
cov suspension,0.00012462247397303604,text
revealed,0.00012429934900489155,text
ml,0.00012423143733485692,text
nauseavomiting,0.00012415835750367459,text
foot,0.00012333426810857436,text
family medical,0.00012326256801220394,text
notes,0.00012323928548653787,text
unexpected non,0.00012251222195707029,text
site pain,0.0001222958679098832,text
dose patient,0.0001222544784276309,text
white,0.00012176870657369581,text
binary__ALLERGIES__latex_other_contact,0.00012120724687864076,structured
needed,0.00012114270757585692,text
year-old non-pregnant,0.00012081886755020563,text
facility,0.00012069922519769669,text
bnt,0.00011990236398530364,text
resolve,0.00011986519448848885,text
armpit,0.00011880092184679397,text
immediately,0.0001185507309765023,text
need,0.00011832232929865095,text
year-old female,0.00011807884999965666,text
signs,0.00011773284770838734,text
headache action,0.00011747972415437537,text
care doctor,0.00011710219498631143,text
cold,0.00011685550693511631,text
feeling,0.00011626415430175011,text
given,0.000116082355931888,text
non onset,0.00011566919993203075,text
number,0.0001156245211978295,text
sought,0.00011530385785914019,text
aesi,0.00011464585397781034,text
lymphadenopathy,0.00011443725869445234,text
immunisation medical,0.00011386190671623866,text
cat__MONTH_5,0.00011374944715360078,structured
formulation solution,0.00011373478961014207,text
age years-old,0.00011353907706803025,text
clinic patient,0.00011306429100827963,text
shot patient,0.00011301772444517597,text
dates unspecified,0.00011270067211202153,text
detailed concurrent,0.00011269167873627315,text
booster shot,0.00011139229331244118,text
light,0.00011122458224460459,text
vaccine trial,0.00011112161925800641,text
stop,0.00011046260179565212,text
unexpected,0.00011023207032045909,text
responded,0.00010960330565559724,text
hard,0.00010948357875626247,text
breast,0.00010918003193720907,text
subsequently,0.00010914212302857856,text
immunization,0.00010883240468460698,text
grade,0.00010764697155127161,text
fainting,0.00010761558360399375,text
information provided,0.00010754459772133613,text
tongue,0.00010730829790757053,text
extreme,0.00010696700039047535,text
age years,0.00010691954935514309,text
released,0.00010671434353654956,text
number dose,0.00010588639082688563,text
medications vaccination,0.00010585535786506303,text
table,0.00010582437758119971,text
denies,0.00010556570117728706,text
read,0.00010546843650572187,text
feeling better,0.00010531106127301239,text
fully,0.0001048288910495858,text
lie,0.00010474253021146636,text
today,0.00010449594139061391,text
flushed,0.00010438988838205877,text
days vaccine,0.00010420435515424028,text
use provided,0.00010405846526712058,text
food,0.00010346054068296631,text
patient recovering,0.00010339650948131267,text
taking tylenol,0.00010316273592578483,text
remain,0.000103162072352893,text
difficulty swallowing,0.00010310480089774781,text
hives body,0.00010300113261590548,text
unwell,0.00010294041897721844,text
covid pneumonia,0.00010278615636418976,text
artery,0.00010260540437953086,text
employee,0.00010221823779852266,text
test positive,0.00010210529108232896,text
help,0.00010209062032200805,text
talk,0.00010207279966185371,text
days second,0.0001019092340863973,text
headache body,0.00010166613995004263,text
cat__STATE_AZ,0.00010165096422649913,structured
abdominal pain,0.00010160798445205556,text
jul,0.00010157600286196716,text
uncomfortable,0.00010142813984527835,text
concerned patient,0.00010125250344484155,text
symptom,0.00010112275849309002,text
everyday,0.00010055937352978218,text
cardiologist,0.00010046671971590011,text
thought,0.00010046395164062918,text
difficulty,0.00010039342316462401,text
received vaccination,0.00010037527365872619,text
number provided,0.00010005759769641746,text
redness injection,0.00010005759769601644,text
uncontrollable,0.00010001038780699108,text
hrs,9.991844746080317e-05,text
expiry dose,9.991289038095689e-05,text
doses mrna,9.990178027959515e-05,text
chest pains,9.947649411722676e-05,text
delivery,9.945504387950074e-05,text
ethnicity,9.941603225477948e-05,text
currently,9.909047959194477e-05,text
necessary,9.90904795919446e-05,text
appears,9.90518779204132e-05,text
left deltoid,9.902029798927816e-05,text
compared,9.895655121652874e-05,text
expiry,9.847291165016531e-05,text
covid onset,9.844787657494037e-05,text
symptomatic,9.810801712617593e-05,text
fully vaccinated,9.784462225060588e-05,text
repeated,9.780395650549017e-05,text
debilitating,9.774498567785718e-05,text
mrna vaccine,9.76960679929361e-05,text
type,9.762068449024375e-05,text
vaccine prior,9.744406361525401e-05,text
tests procedures,9.726045887501696e-05,text
vaccination date,9.722733512535863e-05,text
dose jan,9.701320989920627e-05,text
covid unspecified,9.683107337880501e-05,text
thumb,9.680995024626811e-05,text
went home,9.63891221818599e-05,text
occurred date,9.63891221817764e-05,text
constant,9.630289899241367e-05,text
sensation,9.606504679169412e-05,text
multiple times,9.552726091412083e-05,text
waiting,9.552726091407436e-05,text
concerning,9.552726091403413e-05,text
dementia,9.542197421227534e-05,text
asthma,9.533242369782376e-05,text
bnt intramuscular,9.504807679348771e-05,text
torso,9.491620325380476e-05,text
mg,9.478930077749295e-05,text
color,9.469358640720873e-05,text
father,9.469335386765292e-05,text
administered date,9.442533506270912e-05,text
takes,9.402237414635583e-05,text
medication patient,9.398235338634316e-05,text
injection left,9.395901357367123e-05,text
patient unspecified,9.362198719656484e-05,text
headaches,9.311435902952195e-05,text
new,9.254339073655665e-05,text
treatment given,9.245518874796726e-05,text
tumor,9.220368261431095e-05,text
sleeping,9.212684312845031e-05,text
sense,9.207981843348718e-05,text
pretty,9.188463180146541e-05,text
second covid,9.172620687337163e-05,text
tightness,9.163303107782653e-05,text
grade fever,9.158876896709577e-05,text
parents,9.140208876156081e-05,text
tested covid,9.09032768464112e-05,text
cat__MONTH_4,9.066120205608582e-05,structured
doses,9.05947390561942e-05,text
benefit-risk,9.046836472078675e-05,text
additionally,9.045071687119908e-05,text
following vaccine,9.038720103208498e-05,text
miscarriage,9.019633470154461e-05,text
covid test,8.996698630411087e-05,text
pills,8.996698630410889e-05,text
patient asked,8.951269854302133e-05,text
slight fever,8.93411294233141e-05,text
dose left,8.925607616351076e-05,text
assessments,8.909008973445986e-05,text
coughing,8.904549635537827e-05,text
giving,8.896975673117385e-05,text
did want,8.88959056582678e-05,text
myalgia,8.888691692854011e-05,text
action taken,8.885257658375776e-05,text
vaccine symptoms,8.833733510903016e-05,text
doctors,8.829285695555505e-05,text
red rash,8.829285695555468e-05,text
cat__STATE_WI,8.829285695551932e-05,structured
called doctor,8.782957544410068e-05,text
pulse,8.755921225442013e-05,text
physical therapy,8.704590412839527e-05,text
binary__HISTORY__other,8.662744527711798e-05,structured
lift,8.651812219188111e-05,text
oct,8.618671097060195e-05,text
bnt lot,8.618271147269659e-05,text
patient denied,8.618271147268868e-05,text
center,8.60552919536376e-05,text
pcp,8.601211014151912e-05,text
spo,8.555486225694327e-05,text
questions,8.549462621539729e-05,text
daily,8.535166038211671e-05,text
march th,8.535166038211298e-05,text
cat__STATE_CA,8.525755701988969e-05,structured
patient tested,8.514439293208926e-05,text
minutes receiving,8.478852051188913e-05,text
unexpected event,8.403335832339588e-05,text
consumer patient,8.382554515551032e-05,text
known,8.380260911307161e-05,text
hearing loss,8.356085686482004e-05,text
stated felt,8.351320638153385e-05,text
min,8.344071101458583e-05,text
nights,8.344071101456979e-05,text
rosuvastatin,8.344071101453084e-05,text
old female,8.239357217732849e-05,text
initiated,8.233467006596307e-05,text
poor,8.233467006595971e-05,text
intermittent,8.196622210481422e-05,text
result,8.110599202258032e-05,text
cramping,8.110599202254936e-05,text
local,8.092697046272622e-05,text
risk,8.040873820061578e-05,text
medication,8.036212396876272e-05,text
patient did,7.991977774845034e-05,text
binary__HISTORY__endocrine_thyroid,7.847175156042254e-05,structured
tremors,7.818896261320439e-05,text
consent,7.818896261317905e-05,text
stated patient,7.790504469900007e-05,text
chronic,7.669886102100473e-05,text
